Comunidad y ciudad autónoma de defunción;Covid-19;Sexo;Edad;Total
Andalucía;Covid-19 Virus no identificado (sospechoso);Hombres;95 y más años;17
Andalucía;Covid-19 Virus no identificado (sospechoso);Mujeres;Total;343
Andalucía;Covid-19 Virus no identificado (sospechoso);Mujeres;De 0 a 49 años;4
Andalucía;Covid-19 Virus no identificado (sospechoso);Mujeres;De 50 a 54 años;1
Andalucía;Covid-19 Virus no identificado (sospechoso);Mujeres;De 55 a 59 años;4
Andalucía;Covid-19 Virus no identificado (sospechoso);Mujeres;De 60 a 64 años;5
Andalucía;Covid-19 Virus no identificado (sospechoso);Mujeres;De 65 a 69 años;7
Andalucía;Covid-19 Virus no identificado (sospechoso);Mujeres;De 70 a 74 años;15
Andalucía;Covid-19 Virus no identificado (sospechoso);Mujeres;De 75 a 79 años;21
Andalucía;Covid-19 Virus no identificado (sospechoso);Mujeres;De 80 a 84 años;60
Andalucía;Covid-19 Virus no identificado (sospechoso);Mujeres;De 85 a 89 años;113
Andalucía;Covid-19 Virus no identificado (sospechoso);Mujeres;De 90 a 94 años;85
Andalucía;Covid-19 Virus no identificado (sospechoso);Mujeres;95 y más años;28
Andalucía;Otras causas;Total;Total;72.392
Andalucía;Otras causas;Total;De 0 a 49 años;3.117
Andalucía;Otras causas;Total;De 50 a 54 años;1.999
Andalucía;Otras causas;Total;De 55 a 59 años;3.002
Andalucía;Otras causas;Total;De 60 a 64 años;3.724
Andalucía;Otras causas;Total;De 65 a 69 años;4.559
Andalucía;Otras causas;Total;De 70 a 74 años;6.342
Andalucía;Otras causas;Total;De 75 a 79 años;8.414
Andalucía;Otras causas;Total;De 80 a 84 años;11.624
Andalucía;Otras causas;Total;De 85 a 89 años;14.992
Andalucía;Otras causas;Total;De 90 a 94 años;10.523
Andalucía;Otras causas;Total;95 y más años;4.096
Andalucía;Otras causas;Hombres;Total;37.058
Andalucía;Otras causas;Hombres;De 0 a 49 años;2.048
Andalucía;Otras causas;Hombres;De 50 a 54 años;1.328
Andalucía;Otras causas;Hombres;De 55 a 59 años;2.019
Andalucía;Otras causas;Hombres;De 60 a 64 años;2.586
Andalucía;Otras causas;Hombres;De 65 a 69 años;3.113
Andalucía;Otras causas;Hombres;De 70 a 74 años;4.131
Andalucía;Otras causas;Hombres;De 75 a 79 años;5.010
Andalucía;Otras causas;Hombres;De 80 a 84 años;5.889
Andalucía;Otras causas;Hombres;De 85 a 89 años;6.318
Andalucía;Otras causas;Hombres;De 90 a 94 años;3.584
Andalucía;Otras causas;Hombres;95 y más años;1.032
Andalucía;Otras causas;Mujeres;Total;35.334
Andalucía;Otras causas;Mujeres;De 0 a 49 años;1.069
Andalucía;Otras causas;Mujeres;De 50 a 54 años;671
Andalucía;Otras causas;Mujeres;De 55 a 59 años;983
Andalucía;Otras causas;Mujeres;De 60 a 64 años;1.138
Andalucía;Otras causas;Mujeres;De 65 a 69 años;1.446
Andalucía;Otras causas;Mujeres;De 70 a 74 años;2.211
Andalucía;Otras causas;Mujeres;De 75 a 79 años;3.404
Andalucía;Otras causas;Mujeres;De 80 a 84 años;5.735
Andalucía;Otras causas;Mujeres;De 85 a 89 años;8.674
Andalucía;Otras causas;Mujeres;De 90 a 94 años;6.939
Andalucía;Otras causas;Mujeres;95 y más años;3.064
Aragón;Total;Total;Total;16.680
Aragón;Total;Total;De 0 a 49 años;413
Aragón;Total;Total;De 50 a 54 años;272
Aragón;Total;Total;De 55 a 59 años;444
Aragón;Total;Total;De 60 a 64 años;606
Aragón;Total;Total;De 65 a 69 años;794
Aragón;Total;Total;De 70 a 74 años;1.186
Aragón;Total;Total;De 75 a 79 años;1.582
Aragón;Total;Total;De 80 a 84 años;2.291
Aragón;Total;Total;De 85 a 89 años;3.773
Aragón;Total;Total;De 90 a 94 años;3.456
Aragón;Total;Total;95 y más años;1.863
Aragón;Total;Hombres;Total;8.237
Aragón;Total;Hombres;De 0 a 49 años;274
Aragón;Total;Hombres;De 50 a 54 años;174
Aragón;Total;Hombres;De 55 a 59 años;305
Aragón;Total;Hombres;De 60 a 64 años;429
Aragón;Total;Hombres;De 65 a 69 años;530
Aragón;Total;Hombres;De 70 a 74 años;820
Aragón;Total;Hombres;De 75 a 79 años;950
Aragón;Total;Hombres;De 80 a 84 años;1.202
Aragón;Total;Hombres;De 85 a 89 años;1.695
Aragón;Total;Hombres;De 90 a 94 años;1.321
Aragón;Total;Hombres;95 y más años;537
Aragón;Total;Mujeres;Total;8.443
Aragón;Total;Mujeres;De 0 a 49 años;139
Aragón;Total;Mujeres;De 50 a 54 años;98
Aragón;Total;Mujeres;De 55 a 59 años;139
Aragón;Total;Mujeres;De 60 a 64 años;177
Aragón;Total;Mujeres;De 65 a 69 años;264
Aragón;Total;Mujeres;De 70 a 74 años;366
Aragón;Total;Mujeres;De 75 a 79 años;632
Aragón;Total;Mujeres;De 80 a 84 años;1.089
Aragón;Total;Mujeres;De 85 a 89 años;2.078
Aragón;Total;Mujeres;De 90 a 94 años;2.135
Aragón;Total;Mujeres;95 y más años;1.326
Aragón;Covid-19 Virus identificado;Total;Total;2.653
Aragón;Covid-19 Virus identificado;Total;De 0 a 49 años;15
Aragón;Covid-19 Virus identificado;Total;De 50 a 54 años;15
Aragón;Covid-19 Virus identificado;Total;De 55 a 59 años;32
Aragón;Covid-19 Virus identificado;Total;De 60 a 64 años;70
Aragón;Covid-19 Virus identificado;Total;De 65 a 69 años;102
Aragón;Covid-19 Virus identificado;Total;De 70 a 74 años;158
Aragón;Covid-19 Virus identificado;Total;De 75 a 79 años;285
Aragón;Covid-19 Virus identificado;Total;De 80 a 84 años;415
Aragón;Covid-19 Virus identificado;Total;De 85 a 89 años;653
Aragón;Covid-19 Virus identificado;Total;De 90 a 94 años;606
Aragón;Covid-19 Virus identificado;Total;95 y más años;302
Aragón;Covid-19 Virus identificado;Hombres;Total;1.355
Aragón;Covid-19 Virus identificado;Hombres;De 0 a 49 años;11
Aragón;Covid-19 Virus identificado;Hombres;De 50 a 54 años;11
Aragón;Covid-19 Virus identificado;Hombres;De 55 a 59 años;24
Aragón;Covid-19 Virus identificado;Hombres;De 60 a 64 años;56
Aragón;Covid-19 Virus identificado;Hombres;De 65 a 69 años;66
Aragón;Covid-19 Virus identificado;Hombres;De 70 a 74 años;113
Aragón;Covid-19 Virus identificado;Hombres;De 75 a 79 años;188
Aragón;Covid-19 Virus identificado;Hombres;De 80 a 84 años;230
Aragón;Covid-19 Virus identificado;Hombres;De 85 a 89 años;309
Aragón;Covid-19 Virus identificado;Hombres;De 90 a 94 años;241
Aragón;Covid-19 Virus identificado;Hombres;95 y más años;106
Aragón;Covid-19 Virus identificado;Mujeres;Total;1.298
Aragón;Covid-19 Virus identificado;Mujeres;De 0 a 49 años;4
Aragón;Covid-19 Virus identificado;Mujeres;De 50 a 54 años;4
Aragón;Covid-19 Virus identificado;Mujeres;De 55 a 59 años;8
Aragón;Covid-19 Virus identificado;Mujeres;De 60 a 64 años;14
Aragón;Covid-19 Virus identificado;Mujeres;De 65 a 69 años;36
Aragón;Covid-19 Virus identificado;Mujeres;De 70 a 74 años;45
Aragón;Covid-19 Virus identificado;Mujeres;De 75 a 79 años;97
Aragón;Covid-19 Virus identificado;Mujeres;De 80 a 84 años;185
Aragón;Covid-19 Virus identificado;Mujeres;De 85 a 89 años;344
Aragón;Covid-19 Virus identificado;Mujeres;De 90 a 94 años;365
Aragón;Covid-19 Virus identificado;Mujeres;95 y más años;196
Aragón;Covid-19 Virus no identificado (sospechoso);Total;Total;289
Aragón;Covid-19 Virus no identificado (sospechoso);Total;De 0 a 49 años;3
Aragón;Covid-19 Virus no identificado (sospechoso);Total;De 50 a 54 años;3
Aragón;Covid-19 Virus no identificado (sospechoso);Total;De 55 a 59 años;3
Aragón;Covid-19 Virus no identificado (sospechoso);Total;De 60 a 64 años;2
Aragón;Covid-19 Virus no identificado (sospechoso);Total;De 65 a 69 años;8
Aragón;Covid-19 Virus no identificado (sospechoso);Total;De 70 a 74 años;10
Aragón;Covid-19 Virus no identificado (sospechoso);Total;De 75 a 79 años;24
Aragón;Covid-19 Virus no identificado (sospechoso);Total;De 80 a 84 años;34
Aragón;Covid-19 Virus no identificado (sospechoso);Total;De 85 a 89 años;80
Aragón;Covid-19 Virus no identificado (sospechoso);Total;De 90 a 94 años;86
Aragón;Covid-19 Virus no identificado (sospechoso);Total;95 y más años;36
Aragón;Covid-19 Virus no identificado (sospechoso);Hombres;Total;115
Aragón;Covid-19 Virus no identificado (sospechoso);Hombres;De 0 a 49 años;2
Aragón;Covid-19 Virus no identificado (sospechoso);Hombres;De 50 a 54 años;3
Aragón;Covid-19 Virus no identificado (sospechoso);Hombres;De 55 a 59 años;1
Aragón;Covid-19 Virus no identificado (sospechoso);Hombres;De 60 a 64 años;2
Aragón;Covid-19 Virus no identificado (sospechoso);Hombres;De 65 a 69 años;8
Aragón;Covid-19 Virus no identificado (sospechoso);Hombres;De 70 a 74 años;7
Aragón;Covid-19 Virus no identificado (sospechoso);Hombres;De 75 a 79 años;8
Aragón;Covid-19 Virus no identificado (sospechoso);Hombres;De 80 a 84 años;12
Aragón;Covid-19 Virus no identificado (sospechoso);Hombres;De 85 a 89 años;31
